id,drug1,object,drug2,precipitant,certainty,contraindication,dateAdded,ddiPkEffect,ddiPkMechanism,effectConcept,homepage,label,numericVal,objectUri,pathway,precaution,precipUri,severity,uri,whoAnnotated,source,ddiType,evidence,evidenceSource,evidenceStatement,researchStatementLabel,researchStatement,managementOptions
362,http://bio2rdf.org/drugbank:DB01076,atorvastatin,http://bio2rdf.org/drugbank:DB01026,ketoconazole,None,None,None,None,None,None,None,"ketoconazole is predicted to reduce the clearance of atorvastatin by inhibition of CYP3A4",None,None,http://purl.obolibrary.org/obo/PR_000006130,None,None,None,http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/369,None,DIKB,DDIPrediction,None,None,None,None,None,None
363,http://bio2rdf.org/drugbank:DB01095,fluvastatin,http://bio2rdf.org/drugbank:DB01026,ketoconazole,None,None,None,None,None,None,None,"ketoconazole is predicted to reduce the clearance of fluvastatin by inhibition of CYP3A4",None,None,http://purl.obolibrary.org/obo/PR_000006130,None,None,None,http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/370,None,DIKB,DDIPrediction,None,None,None,None,None,None
364,http://bio2rdf.org/drugbank:DB00227,lovastatin,http://bio2rdf.org/drugbank:DB01026,ketoconazole,None,None,None,None,None,None,None,"ketoconazole is predicted to reduce the clearance of lovastatin by inhibition of CYP3A4",None,None,http://purl.obolibrary.org/obo/PR_000006130,None,None,None,http://dbmi-icode-01.dbmi.pitt.edu/dikb/resource/DDIPredictions/371,None,DIKB,DDIPrediction,None,None,None,None,None,None
17416,http://bio2rdf.org/drugbank:DB01076,Atorvastatin,http://bio2rdf.org/drugbank:DB01026,Ketoconazole,None,None,None,None,None,None,None,"Increased risk of myopathy/rhabdomyolysis|",None,None,None,None,None,None,None,None,Drugbank,None,None,None,None,None,None,None
23279,http://bio2rdf.org/drugbank:DB00227,Lovastatin,http://bio2rdf.org/drugbank:DB01026,Ketoconazole,None,None,None,None,None,None,None,"Increased risk of myopathy/rhabdomyolysis|",None,None,None,None,None,None,None,None,Drugbank,None,None,None,None,None,None,None
24340,http://bio2rdf.org/drugbank:DB00682,Warfarin,http://bio2rdf.org/drugbank:DB01026,Ketoconazole,None,None,None,None,None,None,None,"Ketoconazole, a strong CYP2C9 inhibitor, may decrease the metabolism of warfarin. Consider alternate therapy or monitor for changes in the therapeutic and adverse effects of warfarin if ketoconazole is initiated, discontinued or dose changed.|",None,None,None,None,None,None,None,None,Drugbank,None,None,None,None,None,None,None
64586,http://bio2rdf.org/drugbank:DB01098,Rosuvastatin,http://bio2rdf.org/drugbank:DB01026,Ketoconazole,None,None,None,None,unclassified,None,None,None,None,None,None,True,None,None,http://rest.kegg.jp/ddi/D01915,None,Kegg,None,None,None,None,None,None,None
78805,http://bio2rdf.org/drugbank:DB01095,FLUVASTATIN,http://bio2rdf.org/drugbank:DB01026,KETOCONAZOLE,None,None,None,None,"Inhibition of simvastatin/ lovastatin metabolism by CYP3A4","Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis",None,None,None,None,None,None,None,None,None,None,CredibleMeds,None,None,None,None,None,None,"Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
78810,http://bio2rdf.org/drugbank:DB00227,LOVASTATIN,http://bio2rdf.org/drugbank:DB01026,KETOCONAZOLE,None,None,None,None,"Inhibition of simvastatin/ lovastatin metabolism by CYP3A4","Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis",None,None,None,None,None,None,None,None,None,None,CredibleMeds,None,None,None,None,None,None,"Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
78815,http://bio2rdf.org/drugbank:DB00175,PRAVASTATIN,http://bio2rdf.org/drugbank:DB01026,KETOCONAZOLE,None,None,None,None,"Inhibition of simvastatin/ lovastatin metabolism by CYP3A4","Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis",None,None,None,None,None,None,None,None,None,None,CredibleMeds,None,None,None,None,None,None,"Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
78820,http://bio2rdf.org/drugbank:DB01098,ROSUVASTATIN,http://bio2rdf.org/drugbank:DB01026,KETOCONAZOLE,None,None,None,None,"Inhibition of simvastatin/ lovastatin metabolism by CYP3A4","Increased simvastatin/ lovastatin concentrations and risk of myopathy/ rhabdomyolysis",None,None,None,None,None,None,None,None,None,None,CredibleMeds,None,None,None,None,None,None,"Usually Avoid ·Consider Alternative Antifungal Agents: Terbinafine or ciclopirox nail lacquer would be relatively safer antifungal agents. ·Consider Alternative Statins: For patients requiring long-term azole antifungal therapy, preferable statin alternatives include fluvastatin, rosuvastatin, or pravastatin. ·Temporarily Hold Statin Therapy: Temporarily holding the simvastatin/lovastatin during short-term (e.g., 2-week) azole antifungal therapy is a reasonable alternative for patients with stable cardiovascular disease. ·Monitor: If alternatives are not appropriate, the patient should be monitored for evidence of myopathy (muscle pain or weakness) and myoglobinuria (dark urine)."
82404,http://bio2rdf.org/drugbank:DB00227,Lovastatin,http://bio2rdf.org/drugbank:DB01026,Ketoconazole,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,ONC-HighPriority,None,None,None,None,None,None,None
